Index,Price
1004,6774
1005,8800
1006,6714
1007,7067
1008,7429
1010,7679
1011,5357
1012,21923
1013,8276
1014,8000
1015,8000
1017,5882
1018,7971
1019,6083
1020,6296
1021,15789
1022,7105
1023,7053
1024,10606
1025,5714
1026,14035
1027,11667
1028,8140
1029,10535
1030,11278
1031,6573
1032,23704
1033,5600
1034,7179
1035,8903
1036,15504
1037,3666
1038,11646
1040,9630
1041,7241
1042,10444
1043,7742
1044,4667
1045,13333
1046,8148
1047,9375
1048,12059
1049,20930
1050,7826
1051,17200
1052,7451
1053,10092
1054,12915
1055,8333
1056,12857
1057,10000
1058,10133
1059,17797
1060,5167
1061,10435
1062,14966
1063,9962
1064,11905
1065,27778
1067,11250
1068,11632
1069,12174
1070,12174
1071,11667
1072,12083
1073,11429
1074,4400
1075,9155
1076,9048
1077,12308
1078,14667
1079,8000
1080,9459
1081,7639
1082,9615
1083,5410
1084,6000
1085,13000
1087,8497
1088,14091
1089,8720
1090,8755
1091,9113
1092,9200
1094,5077
1095,10070
1096,8824
1097,11098
1098,7804
1099,6957
1100,4724
1101,18649
1102,9825
1104,7442
1105,10612
1106,10593
1107,6609
1108,7965
1109,8000
1110,18750
1111,9333
1112,9333
1113,9444
1114,10667
1115,5135
1116,19780
1117,8889
1118,13077
1120,9200
1121,9167
1122,9783
1123,7143
1124,9145
1125,4605
1126,5323
1127,29545
1128,9200
1130,7077
1131,8522
1132,6000
1133,7843
1134,12000
1135,6429
1136,8451
1137,3543
1138,9865
1139,15000
1140,9714
1141,9286
1142,6143
1144,5844
1145,10838
1146,7857
1147,12132
1148,8762
1149,11285
1150,4448
1151,4762
1152,4480
1153,9583
1154,16667
1155,6047
1156,8785
1158,11607
1159,5333
1160,11789
1161,7360
1162,8000
1163,10000
1164,4696
1166,5550
1167,8686
1168,5143
1169,17062
1170,15094
1171,7822
1172,4828
1173,14545
1174,6800
1175,12455
1176,17073
1177,8462
1178,8571
1179,9627
1180,7914
1181,9215
1182,5727
