Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-04-05,56.71,195.38,1.59,43.95,23.7,61.12,32.95,0.58,41.99,2.27,24.61,,,,,30.39,38.01,2.21,260.54,0.0,0.0,140.05,983.91,
2024-04-06,62.62,183.46,1.95,42.61,22.87,61.15,33.68,0.55,57.82,2.07,17.28,,,,,29.83,35.93,1.75,260.62,0.0,0.0,158.26,983.84,
2024-04-07,67.79,183.38,2.44,52.44,28.38,61.38,31.79,0.68,48.98,2.05,20.41,,,,,29.64,34.84,1.43,260.16,0.0,0.0,170.36,983.82,
2024-04-08,105.33,238.51,12.03,66.03,41.74,60.97,40.97,0.89,44.85,2.51,19.1,,,,,30.02,35.65,1.43,279.08,0.0,0.0,159.34,983.8,
2024-04-09,100.92,225.58,12.65,70.82,44.55,60.84,40.53,0.97,58.89,3.44,15.84,,,,,30.09,35.06,0.74,237.32,0.0,0.0,142.09,983.71,
2024-04-10,88.29,223.83,7.12,65.44,39.27,60.87,44.67,0.89,59.93,3.03,23.65,,,,,30.15,36.46,0.59,193.35,0.0,0.0,149.59,983.7,
2024-04-11,96.67,274.83,23.34,65.09,51.13,60.33,38.81,1.14,49.94,3.59,47.18,,,,,30.32,38.14,0.79,186.6,0.0,0.0,121.62,983.9,
2024-04-12,133.5,310.25,7.44,69.73,42.46,60.64,54.67,1.16,62.65,3.69,31.52,,,,,30.88,37.8,0.49,187.38,0.0,0.0,124.9,983.98,
2024-04-13,65.0,204.96,6.12,53.97,33.39,61.37,28.79,0.66,46.75,2.13,28.81,,,,,30.51,41.01,1.15,157.72,0.0,0.0,108.79,983.92,
2024-04-14,78.33,181.92,2.54,42.03,23.78,61.36,36.34,0.76,30.66,2.15,15.15,,,,,28.72,49.98,1.16,240.58,0.0,0.0,63.2,984.04,
2024-04-15,126.5,255.92,8.27,56.45,35.83,60.95,39.81,1.25,44.64,3.59,13.97,,,,,29.79,48.14,0.64,216.31,0.0,0.0,98.97,984.1,
2024-04-16,90.83,242.12,29.3,47.65,41.25,60.63,34.1,1.04,37.95,3.26,23.56,,,,,30.67,43.09,2.31,228.21,0.0,0.0,157.18,983.97,
2024-04-17,22.42,146.0,1.37,32.77,17.37,61.81,29.01,0.38,58.64,1.09,11.03,,,,,30.28,37.74,2.83,253.85,0.0,0.0,170.92,983.91,
2024-04-18,42.13,187.04,2.36,45.88,24.88,61.62,27.17,0.56,49.88,1.63,12.28,,,,,31.61,35.63,1.65,251.35,0.0,0.0,162.54,983.55,
2024-04-19,50.06,247.75,18.96,55.49,42.94,60.73,31.48,0.81,32.57,1.92,26.73,,,,,32.17,38.12,1.2,241.52,0.0,0.0,152.39,983.54,
